# Frox 日本語化 J4: **凍結した作業の名簿**（設計 §8.58）。
#
# **この表は増やさない。** 途中で見つかった族は worklist_found.tsv へ、
# 人の判断が要る物は worklist_hold.tsv へ回す（2026-08-30 に決めた）。
# 済みかどうかは持たない——カタログに入ったか、frox/src から字が消えたかで
# 毎回その場で決める（python tools/frox/fc_worklist.py）。
#
# 欄: ファイル<TAB>行<TAB>字（\n \t \s \\ はカタログと同じ印）
#
# 対象外 autopick.c     自動拾いの規則の語。**わざと訳さない**（決定済み。設計 §8.27）
# 対象外 init2.c        `Cannot create '%s'` ほか**起動に失敗したときだけ**出る字
# 対象外 load.c         セーブが壊れていたときだけ出る字
# 対象外 object3.c      `cost_calc_hook` の記録。**呼び手は `obj_info.c:1415` の `#if 0` の中**しかなく、画に出ない（2026-08-30 に辿って確かめた）
# 対象外 save.c         セーブの書き出しの札と `CharOutput.txt` の型
# 対象外 wiz_obj.c      wizard の品作りの画（`^A c`）。`wizard1.c` `wizard2.c` と同じ族
# 対象外 ALL_CAPS       パーサとセーブの札（HIT・CLAW・SPEED）。画に出ない
#
alky.c	776	Really break down %.50s? All chemicals will be lost due to lack of room. <color:y>[y/n]</color>
alky.c	777	Really break down %.50s? Some of the chemicals will be lost due to lack of room. <color:y>[y/n]</color>
alky.c	1173	Alchemists are masters of tinctures, concoctions and\s
alky.c	1174	infusions. They can prepare themselves set infusions from\s
alky.c	1175	potions that replicate the effect - without consuming inventory\s
alky.c	1176	space or being in danger of shattering. They are reasonably good\s
alky.c	1177	at melee, especially with the right potions, though they cannot\s
alky.c	1178	rival melee specialists.\s
alky.c	1179	Even bad potions are useful in their hands, as weapons or\s
alky.c	1180	ingredients. Their other abilities include creating copies\s
alky.c	1181	of potions and turning items to gold. They require intelligence\s
alky.c	1182	for some of their abilities.\n
archer.c	234	Archers are to bows what warriors are to melee. They are the best\s
archer.c	235	class around with any bow, crossbow, or sling. They need a lot of\s
archer.c	236	ammunition, but will learn how to make it from junk found in the\s
archer.c	237	dungeon. An archer is better than a warrior at stealth,\s
archer.c	238	perception, searching and magical devices.\n \n
archer.c	239	Archers have a class power - 'Create Ammo' - which creates pebbles\s
archer.c	240	or shots from rubble, and arrows and crossbow bolts from bones.
arky.c	824	The Archaeologist is an erudite treasure hunter, seeking out the most valuable\s
arky.c	825	prizes that the dungeon has to offer. At home in subterranean caverns and vaults,\s
arky.c	826	he is rarely lost or snared in traps. His powers of perception and detection are\s
arky.c	827	very great, as is his skill with arcane devices. At high levels he can use the\s
arky.c	828	dark magic of the entombed Pharaohs. The powers of the Archaeologist are enhanced\s
arky.c	829	by Wisdom.
bard.c	181	Bards are traditional musicians, and songs and sound are the\s
bard.c	182	foundation of their magic. Four songbooks are available to a Bard,\s
bard.c	183	two of them sold in towns. Some songs are over in a quick yelp,\s
bard.c	184	consuming no more time than a magic spell would; but most continue to be\s
bard.c	185	sung, with continuing effects, until the bard either chooses to stop or\s
