# 途中で見つかった新しい族（回<TAB>どこ<TAB>覚書）。**名簿には足さない**
39	virtue.c:14,20,21 の徳の名（Enlightenment / Unlife / Patience）	名簿の外（凍結のとき M: に在ったので済みと数えられていた）。fc_tr() は E: しか見ないので、徳の名としては英語のまま出る。同じ英語が別の表で別の意味を持つ（M:Patience は呪文の「我慢」、徳は「忍耐」）ので E: へ写すだけでは済まない。次回送り
39	spells2.c の _detect_add() が渡す 1 語（traps / doors / stairs / treasure / objects / monsters）	IDENT の穴（§8.58 ⑧ と同じ形）で名簿に入っていなかった。同じ 1 行に並ぶ字なので第 39 回でカタログへ入れた。数える道具には映らないままである
39	get_check() の問いかけ（frox/src 全体）	フック #61 で口は開けた。カタログに在るものだけ訳される。spells2.c の 1 本以外はまだ英語で、名簿にも入っていない
40	cmd4.c の lighting_level_str[]（standard / darkened）	IDENT の穴で名簿に入っていなかった。同じ表の brightly lit だけが名簿に在り、片方だけ訳すと地形の明度が英日で混ざる。同じ表なので第 40 回でカタログへ入れた
40	cmd4.c の _macro_ui_scope_name()（keymaps / macros）	IDENT の穴。custom keys だけが名簿に在り、訳した枠の %s に英語が残る（§8.47 ⑦ と同じ形）。同じ関数の 3 本なので第 40 回でカタログへ入れた
40	cmd4.c:9057 の alive（モンスターの一覧の生死の欄）	IDENT の穴。対になる \sdead だけが名簿に在った。同じ 1 行なので第 40 回で入れた
40	cmd4.c のマクロ・キーマップ・色と記号を書き出すファイルの中身	画に出ないので「わざと訳さない」にした（空の J:）。読み戻す鍵（[game] など）と書き出しの目印（# vvvvvvv== %s ==vvvvvvv）は訳すと壊れる
40	cmd4.c:2213,2257 の None（銘の表示順の値と、神々の設定の値）	名簿の外（M:None が在るので済みと数えられていた）。fc_tr() は E: しか見ないので、対の User / Uniq だけ日本語になってしまう。同じ配列なので第 40 回で E: へも入れた
40	cmd4.c の知識の画の分類の札 12 本（Uniques / Mold / Angel / Ball / terrains / Weapons / Body Armor / Helmets / Rings / Amulets / Lights / Shield）	名簿の外（M: F: S: O: に在るので済みと数えられていた）。fc_tr() は E: しか見ないので、同じ一覧の中で英語と日本語が並ぶ（§8.44 ⑦ と同じ形）。同じ表なので第 40 回で E: へ入れた
40	util.c:552 の path_temp()（一時ファイルの名前）	訳の族ではない。WIN32 の枝が先頭に . を継いでいて、いまの MSVC の tmpnam() は TMP を見て絶対パスを返すので、開けない名前（. ＋ 絶対パス）になる。生存中のユニーク・倒した敵の数・賞金首の一覧の 3 画が --lang=en でも開かない。コアを直す仕事なので第 40 回では手を付けていない
41	tables.c の ma_blows[] の名 Circle Kick / Crushing Blow	名簿の外（M: に在るので済みと数えられていた）。fc_tr_arg() は doc の中でも E: しか見ないので、素手の技の欄でこの 2 つだけ英語で並ぶ。同じ表の同じ欄なので第 41 回で E: へも入れた
41	tables.c の color_names[] の Dark / White / Red / Green / Blue	名簿では races_a.c のドラコニアンの亜種名（me.subname）として在る。あちらはセーブの鍵かもしれない別の族なので、この回では触っていない。色をいじる画（cmd4.c の設定 3）では、32 色のうちこの 5 つだけ英語のまま残る（Dark は M: と F: に在るので名簿の外。実機で見た）
41	tables.c の kamae_shurui[].info の訳が名のほうを取っていた	(Black Tortoise)\s に 玄武 が当ててあった。desc（Genbu）を 玄武 にしたので info は （黒い亀） へ付け替えた。第 41 回で直した
41	tables.c の silly_attacks[] の残り 55 本	IDENT（^[a-z_0-9%./-]+$）が識別子と見なして落とすので名簿に入っていない。空白を含む 10 本だけが名簿に在り、その 10 本は語順の都合で保留へ回した（同じ理由）
41	monk.c の素手の技の欄の見出し（Your Fists / Number of Blows: / To Hit: / Average Damage: / One Strike: ほか）	名簿の外。実機で見た（第 41 回で技の名を日本語にしたので、同じパネルで名だけ日本語・見出しが英語という並びになっている）。同じ欄の Attack / Dice / Pct / Dam は monk.c:156 で名簿に在るので、monk.c の族を取る回で一緒に片づける
43	files.c の名簿 148 のうち 116 は字ではない	リテラルを拾う目がシングルクオートの文字定数でずれ、ソースの数百行を 1 本の「字」として名簿へ入れている（凍結のときからそうなっている）。訳す物ではないので、files.c を取る回はその 116 をどう片づけるかを先に決めること（§8.66）
45	weaponsmith.c の _essence_groups[] の名 51 本	名簿の外（F: M: B: に在るので済みと数えられていた）。エッセンスの画は doc_printf で出すので fc_tr_arg() は E: しか見ず、131 本のうち 51 本が英語のまま並ぶ。ただし Speed・Warning・Revenge・Telepathy などはどれも別のファイルでも素の字として出てくるので、E: へ写すと別の画まで巻き添えにする。1 語ずつ意味を確かめる仕事なので、これだけで 1 回ぶんある
45	monk.c:157 の Attack	第 41 回の覚書が「monk.c の族を取る回で一緒に片づける」と書いていたので、第 45 回で E: へ入れた。同じ欄の Your Fists・Average Damage: などは前の回で既に入っていた（覚書はその点で古かった）
45	py_birth.c の細別を選ぶ画の見出し（Demigod Parentage ほか）	名簿に在る（py_birth.c。未着手 39 本の中）。第 45 回で細別の名は日本語になったが、見出しだけ英語で残る（実機で見た）。py_birth.c を取る回で片づく
45	alky.c:770 の All	第 45 回で alky.c の側は文ごと訳したので消えたが、cmd4.c と combat.c に同じ字が残っているので名簿ではまだ未着手である。あちらは銘の表示順の値と飛び道具の表の欄で、意味が違う
46	py_info.c:2259 の Skeletons	名簿の外（M: に「スケルトン」で在るので済みと数えられていた）。ここでは品の「骨」の欄で、同じ英語が別の意味を持つ（§8.55 の Charge と同じ）。E: へ写すと敵の側を巻き添えにするので、1 語ずつ意味を確かめる回で片づける
46	py_birth.c の Giant（モンスター種族の名。r_giant.c:1）	名簿の外（S: と B: にだけ在る）。同じ族の Dragon / Golem / Troll / Elemental は E: に在るので、誕生の画でこの 1 つだけ英語のまま並ぶ。ただし M:Giants は「巨人」・S:Giant も「巨人」で、E: へ入れるとカタカナか漢字かを決めることになる。第 46 回では Spider（名簿に在った）だけ「スパイダー」で閉じた
46	py_info.c の統計の表の見出しが 1 桁ずれている	訳の族ではない。行は `%-20.20s %5d %6d %5d %5d` なのに、見出しの 2 番目以降の語が1 桁左に置いてある（英語のときからそう）。実機で見た（「装備品 発見 購入 使用 破壊」）
46	quest.c:2330 の _status_name()（wizard のクエスト状態変更）	format() の引数だが裸の 1 語なので、doc の外では A: しか見ない（§4 追記 (d)）。wizard 専用の画なので §8.58 ⑤ の対象外の族である
47	files.c:1266〜1353 の営業時間の帯（SUN: 〜 SAT: と XXXXXXXX… の目盛り）	名簿の外。**文字定数の直しで初めて母集団に入った**（第 47 回で fc_scan_src_en.py に CHAR_CONST を足すまで、files.c:233 からの数百行が 1 本の「字」に化けていて、その中に飲み込まれていた）。曜日の札 7 本と 目盛りの帯 7 本は対で桁が組んであるので、片方だけ訳すと帯がずれる
47	files.c:1856 の Replace existing file %s? 	名簿の外。上と同じく文字定数の直しで初めて見えた。get_string() の問いかけ
47	files.c:2193 の Info file '%s'	名簿の外。上と同じ。ヘルプのファイルを開けなかったときの字
47	files.c:2676 / 2689 の The name '%s' is too long! / contains control chars!	名簿の外。上と同じ。人物の名前を入れるときの断りの字
47	util.c:3705 の TBDoc+	名簿の外。上と同じ。doc の名前で、画に出るかどうかは辿っていない
47	文字定数の直しで名簿から消えた 170 件	files.c 116・util.c 54 ほか。**訳す物ではなかった**——リテラルを拾う目が '"' の 1 字で文字列の頭を見誤り、ソースの数十〜数百行を 1 本の「字」として 凍結の母集団へ入れていた。根本を直したので、名簿の側は「frox/src から字が消えた」＝済みになった（§8.58 ③ の 2）。名簿は作り直していない
48	銘の略号（flag_insc_esp1[] ほか）の配管	`object_desc_str()` がバイトで写すので、`Tele` `Nolv` `Lvng` は `D:` の表と `fc_decor()` を差さないと引けない。しかも同じ表の `Evil` `Good` は属性の表（大善/中悪…）と綴りがぶつかっている。保留へ回した 3 語と合わせて族ごと次回送り
