# Frox 日本語化 J4: **無人で回した記録**。
#
# **通知は当てにできない**（第 36 回は notifyOnCompletion を立てたのに届かなかった。
# 「スレッド間の伝言は届かない」と同じ族）。**この表だけが外から見える証拠**である。
#
# 欄: 回<TAB>スレ<TAB>日時<TAB>結果<TAB>未着手<TAB>覚書
#   回   … 訳の 1 回分（設計書 §8.x とコミット文の番号）
#   スレ … サイドバーの題名（Frox翻訳 そのN）。混ぜないこと
#   結果 … 済 / 失敗 / 止
#
# **3 回続けて「失敗」なら鎖を止めて人の判断を仰ぐ**（走行手順 §0）。
#
36	22	2026-08-31T00:40+09:00	済	4946	殴り方の動詞 28 種。試走。環境（組む・実機・git）は全部通った
37	23	2026-08-31T03:56+09:00	済	3883	種族の説明 140 本（破片 852）。数え方の直しで 211 種。フック #56
38	24	2026-08-31T08:55+09:00	済	3160	職の説明 55 本と性格の説明 21 本（破片 723）。配管ゼロ。説明文の族は打ち止め
39	25	2026-08-31T10:02+09:00	済	2934	自己分析と徳の画（spells2.c 176・virtue.c 50）。訳 230・フック #57〜#61。死因 5 本は保留。現在の魔法の画だけ実機で出せず（§8.62 ⑧）
40	26	2026-08-31T11:08+09:00	済	2663	知識・設定・キーの割り当ての画（cmd4.c 全数 262）。訳 223・わざと訳さない 51・フック #62〜#70。plural_aux() の族 9 本は保留。ユニーク／撃破数／賞金首の 3 画は path_temp() の不具合で実機に出せず（--lang=en でも同じ。§8.63 ⑧）
41	27	2026-08-31T12:08+09:00	済	2447	tables.c の表（記号の一覧 94・素手の技・構え・色・守護者ほか 210）。訳 236・わざと訳さない 4・フック #71〜#76。記号の一覧は変愚の同じ表と記号で 1 対 1 に突き合わせた。幻覚の殴り方 10 本は語順が直せず保留。記号の一覧・構えの画・守護者は実機で見ていない（§8.64 ⑧）
42	28	2026-08-31T13:00+09:00	済	2268	状態列の札（xtra1.c の bar[] 195 行ほか。全数 177）。訳 385・わざと訳さない 1。9 つ目の札 B: を建てた（短い札は長い札と対で引く。フック #77 #78）。桁を数える所と画へ出す所の両方で引き直す——訳を入れる前から 11 行がずれていた。変愚の status-bars-table.cpp と鍵で 69 行が付いた。実機で「帰還」「探索」を確認（§8.65）
43	29	2026-08-31T13:58+09:00	済	1991	色のタグの付いた札（`<color:X>…</color>` を含む字。名簿 263 中 229 を取った）。訳 229・わざと訳さない 7・フック #79〜#82（13 か所）。**doc を通る字は配管が要らない**——229 種のうち口が要ったのは `string_printf()` の族 13 か所だけ。破片は継いでから鍵にするので 228 行で 277 種が済んだ。`msg_prompt()` の確認の問いかけ 34 種は次の回へ。`files.c` の名簿 148 のうち 116 は字ではない（found へ）。実機で「乗馬」を確認（§8.66）
44	30	2026-08-31T15:05+09:00	済	1682	化ける敵の種族のファイル（`r_*.c` 全数 27 本、309 種→鍵 297）。訳 291・わざと訳さない 5・保留 1（Exploding は死因）。フック #83〜#87（8 か所）。**亜種の名 125 本は既訳の敵の名から機械で借りた**。**`subname` はヘルプの見出しとセーブの鍵**なので表は触らず、doc の中なら裸の 1 語も引けるのでカタログへ載せるだけで済んだ。誕生の画を実機で見てドラゴン・ジャイアント・蜘蛛の亜種の一覧を確かめた（§8.67）
45	31	2026-08-31T16:22+09:00	済	1144	職のファイル全数（class_t を作る 56 本＋demigod.c。538 種→鍵 440）。訳 398・わざと訳さない 26・保留 13。フック #88〜#93（26 か所）。職と種族の細別（subname/subdesc）は表を触らず doc の中で引いた（配管ゼロ）。選択の画の問いかけを組み立てる族へ口を開けた（alky・graymage・magic_eater。string_printf/string_append_s/sprintf/snprintf はどれも vstrnfmt を通らない）。符の銘 24 本は飾りの札 D: へ。引数の束が閉じているなら文ごと訳す（All / Some of the）。数える道具を 2 か所広げた——1 つの case SPELL_NAME: に名が 2 つ以上あると先頭しか見ていなかった（3 本＋族の外から Summon Tree が出てきた）。M:/F: にだけ在る名は doc の引きに映らない（鍛冶のエッセンス 51 本。found へ）。実機 j4 11/11・spell 16/16・誕生の画で細別 4 種を確認（§8.68）
46	32	2026-08-31T17:17+09:00	済	827	確認の問いかけと残りの画面の欄・見出し・札（bldg.c 69・py_info.c 57・spells3.c 49・cmd5.c 47・py_birth.c 39・init1.c 38・quest.c 18。317 種）。訳 200・わざと訳さない 95・保留 5・継いでから鍵にした 5 本（破片 17）。名簿の外から 17 本（人物調書の討伐と呪文の表。§8.68 ⑦ の手）。フック #94〜#98（41 か所）。obj_prompt の問いかけは配管ゼロ——doc の中の引数として引ける。%.0s で捨てている引数はわざと訳さない。逆に引数がタグを持つ枠を %.0s で捨てていた既訳 2 本を直した（3 通りの名詞を「アーティファクト」と決め打ち・閉じタグごと捨てて色が閉じない）。Lvl は同じ表の別の欄に合わせて「Lv」。実機 bldg 15/15・j4 11/11・spell 16/16・人物調書で呪文の統計の表が桁の合った日本語で並ぶのを見た（§8.69）
47	33	2026-08-31T18:13+09:00	済	385	走査の根本の直しと問いかけの族。**リテラルを拾う目が文字定数（'"'）を知らず、files.c の数百行を 1 本の「字」として名簿へ入れていた**——CHAR_CONST を足して直し、170 件が名簿から消えた（空の J: で塗り潰さず根本を直した。第 43 回の宿題）。族は obj_prompt の prompt/error 51・get_check の問いかけ 34・組み立てる書式 14。訳 110・わざと訳さない 104・保留 59（死因は族ごと）・次回送り 6。フック #99（15 か所）。**obj_prompt は配管ゼロだが、データは英語のまま置く**（strpos が英語で照合）。**get_check の訳は 74 バイトまで**（my_strcpy がバイトで切って 2 バイトの字を割る）。**引数が混ざらない問いかけは sprintf でも配管が要らない**。実機で品を選ぶ問いかけ 7 種と「本当に食料を壊しますか？」「いくつですか (1-7):」を見た（§8.70）
48	34	2026-08-31T19:59+09:00	済	0	**凍結した名簿を使い切った**（385 → 0）。1 行の族を 70 本のファイルから形で束ねた——突然変異と竜人 35・魔法領域の説明 25（変愚の公式訳から借用）・表の欄 46・狙いの画と敵の一覧 52・敵の名の代名詞と飾り 16・死んだ画と墓碑 15・品の飾り 15・保険の店 13・人物調書の控え 22 ほか。訳 334・わざと訳さない 56・保留 7。フック #100〜#110（72 か所）。カタログ 訳 13,063。**空の J: では字を落とせない**ので、日本語で要らない前置詞と冠詞は `fc_lang_enabled()` でコードから落とした（狙いの画。落とす前に名簿を引くこと）。**代名詞 14 語は `strcpy(desc, res)` の 1 か所で引ける**。**欄は右に欄が無いときだけ広げてよい**（`ダメージ` は 8 バイト）。**数える道具 2 本が三項演算子を見ていなかった**（`if (name) return a ? "X" : "Y";`）。**`S:` の照合が `inv_alloc()` だけを見ていた**。実機で 1 語取りこぼし（`Shadow` は M: と B: に在るので名簿に入っていなかった）。j4 11/11・bldg 15/15・spell 16/16・msg 14/14。狙いの画と死んだ画はミラーに映らない（found へ）。保留 108 語は承認票にした（§8.71）
49	34	2026-08-31T20:30+09:00	止	96	**訳さず、自分の判断を記録しただけ**（時間切れ。「次回に回して」と決めた）。承認票の返事は**案のまま。ただし B（幻覚のときの殴り方）だけ「訳す」**——「日本語の並びがおかしいままで OK。幻覚なので意味不明の言葉がそれっぽくていい」。訳すと決まった 6 族 96 語を `worklist_hold.tsv` から外したので**未着手へ戻した**（保留 12）。着手前に 2 つ判った——**死因の字はセーブに日本語を残さない**（`died_from` は英語で保存され、画へ出るのは `%s` の引数のときなのでカタログへ足すだけでよい。照合の 4 語も訳してよい。セーブにも日本語が入るのは組んでから渡す 4 本だけで、うち `wielding %s` と `the Wrath of %s` は `sprintf()` なのでフックが要る。`(alive and well)` `(saved)` `(panic save)` `Abortion` は生きているうちに書く印なので空の `J:`）。**幻覚の殴り方は 65 語ある**（保留に入っていたのは空白を含む 10 語だけ。残り 55 は `IDENT` が食っていた）。リポジトリのソースとカタログは 1 バイトも触っていない（§8.71 ⑨）
50	35	2026-08-31T21:26+09:00	止	96	別のスレッドが作業中のため退いた（§0.2）。git status に tools/gen_sfx_catalog.py の変更が 1 行出ており、更新時刻はこの分そのもの（効果音の回が走っている）。リポジトリのソース・カタログ・名簿は 1 バイトも触っていない。錠は取っていない。次の時刻にまた火が付く。
51	36	2026-08-31T23:28+09:00	済	0	**凍結した名簿を 2 度目に使い切った**（96 → 0）。承認の下りた 6 族——死因の字 81・幻覚のときの殴り方 65・敵の名の \s(Foe)・生得攻撃の Random・盗まれた／食べられた の枠。訳 155・わざと訳さない 5。フック #111〜#115（21 か所）。カタログ 訳 13,218。**裸の 1 語は A: と E: の両方へ入れる**（死んだ画と墓碑は doc を通らない・人物調書は doc の中）。**SPELL_NAME の枠は訳してはいけなかった**——承認票の案を覆した。format() は vstrnfmt() を通るのでカタログへ鍵を足しただけで返り値が日本語になり、それは spell_stats_aux() の鍵＝セーブに書かれる字である。組み上がった名（Breathe Fire ほか 40 本）は第 32 回に M: へ入っていて画へ出す所で引かれていた（もう日本語で出ていた）。**Python の cp932 は入れるのに Windows が入れない 3 字がある**（‖ − 〜）——fc_check_ja.py が PASS でも実機のログに 1 not in cp932 と出て、その 1 本だけ英語のまま残っていた（combat.c:2239 の波ダッシュ）。0x20〜0xFFFF を総当たりして cp932_bad() にこの 3 字を足した。**配列の初期化で持つ死因は my_strcpy() へ書き換える**（初期化子に fc_tr() は差せない）。**枠を単数・複数に割ると %.0s で捨てていた意味が戻る**（One of your …）。実機で墓碑を見た（0 階で倒れる／途中終了によって。セーブの写しを取ってから殺し、あとで戻した）。j4 11/11・msg 14/14・spell 16/16・bldg 15/15。**幻覚の殴り方の画だけ見ていない**（found へ）。**シェルの時計はずれていなかった**（bash も PowerShell も 23:28。第 38 回の 44 分の遅れはもう無い）。§8.72
52	21	2026-09-01T08:20+09:00	済	0	**凍結し直した名簿（2,037 種）を使い切った**（21 → 0）。鎖ではなくスレッド その21 で手を動かした（「実機は今は触れないので先に新しい範囲をつぶして」と決めた）。訳 6・わざと訳さない 15・フック #116（3 か所）。**quit_fmt は vformat 経由で vstrnfmt を通るので配管が要らない**。snprintf の 3 か所だけ口を開けた。訳した 6 本は実機で見ていない（found へ）。j4 11/11・弾かれ 0（§8.73）
53	21	2026-09-02T01:40+09:00	済	0	**名簿の外に 2 族**（実機で見つけたこと）。名簿・クエスト・spoilers.c の 3 つを数えるようにした。J7 クエスト: 名前 92 を訳した（30 件は変愚の公式訳を借りた）。依頼文 261 段落が残り。道具 fc_quests.py と種 quests.ja.tsv。**Random 1〜10 は訳せない**（sscanf が名前から番号を読み直す）。**町名の括弧は半角のまま**（strpos("(") が落とすのに使う）。**D: は空白で継がれるので 1 段落 1 行**。J8 ヘルプ 13 本: **3 つの穴が重なっていた**——spoilers.c を数える道具から除いていた・help_upd.txt を lib-ja へ写して作り直しを永久に止めていた・説明文を素で書いていた。フック #118（説明文 13・見せる名前 5）で 43,957/227,630 ＝ 19% が日本語に。枠の字 227 件が残り。**--selftest は英語の lib で走るので作り直しを確かめられない**（j2 のような実起動の道を通す）。**.csv 4 本は訳さない**（ゲーム内から開く道が無い）。§8.74・§8.75
54	37	2026-09-02T02:38+09:00	済	0	**クエストの依頼文 80 段落**（q_barracks〜q_haunted_house。113/261＝43% が日本語。残り 148）。名簿は 0・spoilers.c の 227 件は手つかず。**ソースは 1 バイトも触っていない**——データだけの回。**同じ原文の段落が繰り返し出る**ので既訳を写した（「二度と同じことのないように！」5 か所・「別の者に行かせた」3 か所・q_doom2 と q_doom2c はほぼ丸ごと同じ）。**固有名詞はカタログとダンジョンの一覧から引く**（Angband＝鉄獄・Lonely Mountain＝はなれ山・Giant's Hall＝巨人の広間・Snow castle＝雪の城・Pit Fiend＝ピット・フィーンド・影妖精・ディメトロドン）。**U+2014 は cp932 に無い**（U+2015 と見分けがつかないので横棒を書かず、当てる道具に置き換えと全数照合を入れた）。**fc_build_ja_edit.py は終了コード 1 で終わるが失敗ではない**——`OBJ(/ end=/)` ほか 6 件は .vim の色づけ用の紙から来ていて前からある。確かめは fc_check_ja PASS・fc_build_ja_edit（クエスト 85 本に訳を当てた）・j2 26/26（0 not in cp932）。**--selftest は英語の lib で走るので使えない**。**依頼文の画は見ていない**（クエストを受けた町の主に話しかける必要がある。found へ）。スレは 21 が 2 回続いたので鎖の側の最大 36 に 1 を足した。§8.76
